id,province_id,type,name,lat,lng
1171,11,Kota,Banda Aceh,-5.548290,-95.323753
1271,12,Kota,Medan,3.595196,98.672226
1371,13,Kota,Padang,-0.947083,100.417181
1471,14,Kota,Pekanbaru,0.533333,101.450000
1571,15,Kota,Jambi,-1.610122,103.613120
1671,16,Kota,Palembang,-2.976074,104.775430
1771,17,Kota,Bengkulu,-3.792845,102.260764
1871,18,Kota,Bandar Lampung,-5.429162,105.266792
1971,19,Kota,Pangkal Pinang,-2.129000,106.113000
2171,21,Kota,Batam,1.045626,104.030457
3171,31,Kota,Jakarta Selatan,-6.261493,106.810600
3172,31,Kota,Jakarta Timur,-6.225014,106.900447
3273,32,Kota,Bandung,-6.917464,107.619123
3374,33,Kota,Semarang,-6.966667,110.416667
3471,34,Kota,Yogyakarta,-7.795580,110.369490
3578,35,Kota,Surabaya,-7.257472,112.752088
3671,36,Kota,Tangerang,-6.170166,106.640281
5171,51,Kota,Denpasar,-8.650000,115.216667
5271,52,Kota,Mataram,-8.583333,116.116667
5371,53,Kota,Kupang,-10.177200,123.607000
6171,61,Kota,Pontianak,-0.022523,109.330307
6271,62,Kota,Palangka Raya,-2.208333,113.916667
6371,63,Kota,Banjarmasin,-3.318606,114.594378
6472,64,Kota,Samarinda,-0.502183,117.153801
6571,65,Kota,Tarakan,3.300000,117.633333
7171,71,Kota,Manado,1.474830,124.842079
7271,72,Kota,Palu,-0.891700,119.870700
7371,73,Kota,Makassar,-5.147665,119.432732
7471,74,Kota,Kendari,-3.998459,122.512974
7571,75,Kota,Gorontalo,0.543544,123.056770
7671,76,Kabupaten,Mamuju,-2.680000,118.886000
8171,81,Kota,Ambon,-3.654703,128.190643
8271,82,Kota,Ternate,0.790000,127.384000
9171,91,Kabupaten,Manokwari,-0.861453,134.062042
9271,92,Kota,Jayapura,-2.533710,140.718132
9371,93,Kabupaten,Merauke,-8.496400,140.401900
9471,94,Kabupaten,Nabire,-3.359700,135.501900
9571,95,Kabupaten,Wamena,-4.102500,138.957000
9671,96,Kota,Sorong,-0.876200,131.255800
